band,half_width,coverage,accuracy_on_auto,mistakes_automated,escalated,cost_per_1k
0.50-0.50,0.0,1.0,0.813125,299,0,0.00639914625
0.49-0.51,0.01,0.9975,0.8132832080200502,298,4,0.25639914625000004
0.48-0.52,0.02,0.989375,0.815540113708149,292,17,1.0688991462500002
0.47-0.53,0.03,0.98,0.8201530612244898,282,32,2.0063991462499997
0.46-0.54,0.04,0.970625,0.8216355441081777,277,47,2.94389914625
0.45-0.55,0.05,0.964375,0.8230719377835386,273,57,3.56889914625
0.44-0.56,0.06,0.95625,0.8235294117647058,270,70,4.381399146250001
0.43-0.57,0.07,0.9375,0.8286666666666667,257,100,6.25639914625
0.42-0.58,0.08,0.929375,0.8291862811028917,254,113,7.068899146250001
0.41-0.59,0.09,0.9225,0.8313008130081301,249,124,7.756399146250001
0.40-0.60,0.1,0.910625,0.8373369938229238,237,143,8.94389914625
0.39-0.61,0.11,0.90375,0.8381742738589212,234,154,9.63139914625
0.38-0.62,0.12,0.891875,0.8402242466713384,228,173,10.81889914625
0.37-0.63,0.13,0.88125,0.8411347517730496,224,190,11.88139914625
0.36-0.64,0.14,0.8725,0.8438395415472779,218,204,12.756399146250002
0.35-0.65,0.15,0.86125,0.8447024673439768,214,222,13.881399146250002
0.34-0.66,0.16,0.8425,0.8471810089020771,206,252,15.756399146250002
0.33-0.67,0.17,0.831875,0.8497370398196844,200,269,16.81889914625
0.32-0.68,0.18,0.82625,0.850983358547655,197,278,17.38139914625
0.31-0.69,0.19,0.81625,0.8506891271056661,195,294,18.38139914625
0.30-0.70,0.2,0.8075,0.8537151702786377,189,308,19.25639914625
0.29-0.71,0.21,0.8,0.85546875,185,320,20.00639914625
0.28-0.72,0.22,0.78375,0.8604465709728868,175,346,21.631399146249997
0.27-0.73,0.23,0.775,0.8604838709677419,173,360,22.506399146249997
0.26-0.74,0.24,0.76625,0.8646003262642741,166,374,23.381399146249997
0.25-0.75,0.25,0.75625,0.8661157024793389,162,390,24.381399146249997
0.24-0.76,0.26,0.74125,0.8701517706576728,154,414,25.88139914625
0.23-0.77,0.27,0.721875,0.870995670995671,149,445,27.81889914625
0.22-0.78,0.28,0.70625,0.8761061946902655,140,470,29.381399146249997
0.21-0.79,0.29,0.7,0.8803571428571428,134,480,30.006399146249997
0.20-0.80,0.3,0.6875,0.8854545454545455,126,500,31.256399146249997
0.19-0.81,0.31,0.676875,0.8882733148661126,121,517,32.31889914625
0.18-0.82,0.32,0.655625,0.9018112488083889,103,551,34.44389914625
0.17-0.83,0.33,0.635,0.9094488188976378,92,584,36.50639914625
0.16-0.84,0.34,0.62,0.9133064516129032,86,608,38.006399146250004
0.15-0.85,0.35,0.6075,0.918724279835391,79,628,39.256399146250004
0.14-0.86,0.36,0.6075,0.918724279835391,79,628,39.256399146250004
0.13-0.87,0.37,0.590625,0.9195767195767196,76,655,40.943899146250004
0.12-0.88,0.38,0.571875,0.9256830601092896,68,685,42.818899146250004
0.11-0.89,0.39,0.535,0.9345794392523364,56,744,46.50639914625001
0.10-0.90,0.4,0.511875,0.9426129426129426,47,781,48.81889914625001
0.09-0.91,0.41,0.49375,0.9443037974683545,44,810,50.631399146250004
0.08-0.92,0.42,0.4825,0.9507772020725389,38,828,51.756399146250004
0.07-0.93,0.43,0.459375,0.9578231292517007,31,865,54.068899146250004
0.06-0.94,0.44,0.426875,0.9663250366032211,23,917,57.318899146250004
0.05-0.95,0.45,0.341875,0.9707495429616088,16,1053,65.81889914625002
0.04-0.96,0.46,0.255625,0.9779951100244498,9,1191,74.44389914625
0.03-0.97,0.47,0.14,0.9732142857142857,6,1376,86.00639914624999
0.02-0.98,0.48,0.12875,1.0,0,1394,87.13139914624999
0.01-0.99,0.49,0.025625,1.0,0,1559,97.44389914625
