band,half_width,coverage,accuracy_on_auto,precision,recall,mistakes_automated,escalated,cost_per_1k
0.50-0.50,0.0,1.0,0.885,0.1650485436893204,0.7391304347826086,184,0,0.0068886037500000006
0.49-0.51,0.01,0.9975,0.8872180451127819,0.16831683168316833,0.7391304347826086,180,4,0.25688860375
0.48-0.52,0.02,0.995,0.8881909547738693,0.17,0.7391304347826086,178,8,0.50688860375
0.47-0.53,0.03,0.98875,0.8900126422250316,0.16923076923076924,0.7333333333333333,174,18,1.13188860375
0.46-0.54,0.04,0.984375,0.8907936507936508,0.17098445595854922,0.7333333333333333,172,25,1.56938860375
0.45-0.55,0.05,0.975625,0.8923766816143498,0.1746031746031746,0.7333333333333333,168,39,2.44438860375
0.44-0.56,0.06,0.9675,0.896640826873385,0.18232044198895028,0.7333333333333333,160,52,3.2568886037499998
0.43-0.57,0.07,0.955,0.9031413612565445,0.19047619047619047,0.7272727272727273,148,72,4.50688860375
0.42-0.58,0.08,0.95125,0.9027595269382391,0.19047619047619047,0.7272727272727273,148,78,4.88188860375
0.41-0.59,0.09,0.94,0.9055851063829787,0.19631901840490798,0.7441860465116279,142,96,6.006888603750001
0.40-0.60,0.1,0.935625,0.9084836339345357,0.20125786163522014,0.7619047619047619,137,103,6.444388603750001
0.39-0.61,0.11,0.92875,0.9111709286675639,0.20261437908496732,0.7560975609756098,132,114,7.131888603750001
0.38-0.62,0.12,0.92,0.9144021739130435,0.19727891156462585,0.7837837837837838,126,128,8.006888603750001
0.37-0.63,0.13,0.913125,0.917864476386037,0.20422535211267606,0.8055555555555556,120,139,8.694388603750001
0.36-0.64,0.14,0.90875,0.9181568088033012,0.20567375886524822,0.8055555555555556,119,146,9.131888603750001
0.35-0.65,0.15,0.898125,0.9206680584551148,0.21323529411764705,0.8055555555555556,114,163,10.19438860375
0.34-0.66,0.16,0.88625,0.921015514809591,0.21641791044776118,0.8055555555555556,112,182,11.38188860375
0.33-0.67,0.17,0.87875,0.922475106685633,0.22137404580152673,0.8055555555555556,109,194,12.13188860375
0.32-0.68,0.18,0.875625,0.9257673090649536,0.23015873015873015,0.8055555555555556,104,199,12.444388603750001
0.31-0.69,0.19,0.866875,0.9293439077144917,0.24166666666666667,0.8055555555555556,98,213,13.31938860375
0.30-0.70,0.2,0.85625,0.9313868613138686,0.23478260869565218,0.8181818181818182,94,230,14.38188860375
0.29-0.71,0.21,0.8475,0.9328908554572272,0.23214285714285715,0.8387096774193549,91,244,15.256888603750001
0.28-0.72,0.22,0.838125,0.9351230425055929,0.23148148148148148,0.8620689655172413,87,259,16.194388603750003
0.27-0.73,0.23,0.828125,0.9381132075471698,0.24271844660194175,0.8620689655172413,82,275,17.19438860375
0.26-0.74,0.24,0.819375,0.938977879481312,0.24,0.8571428571428571,80,289,18.06938860375
0.25-0.75,0.25,0.805625,0.9410395655546936,0.25,0.8571428571428571,76,311,19.444388603750003
0.24-0.76,0.26,0.791875,0.9423835832675612,0.25,0.8518518518518519,73,333,20.819388603750003
0.23-0.77,0.27,0.77375,0.9474959612277868,0.26744186046511625,0.92,65,362,22.63188860375
0.22-0.78,0.28,0.766875,0.9486552567237164,0.27380952380952384,0.92,63,373,23.319388603750003
0.21-0.79,0.29,0.761875,0.9540607054963085,0.2894736842105263,0.9166666666666666,56,381,23.819388603750003
0.20-0.80,0.3,0.74625,0.9564489112227805,0.3055555555555556,0.9166666666666666,52,406,25.38188860375
0.19-0.81,0.31,0.731875,0.9607173356105893,0.3125,0.9090909090909091,46,429,26.819388603750003
0.18-0.82,0.32,0.7125,0.9666666666666667,0.32075471698113206,0.8947368421052632,38,460,28.75688860375
0.17-0.83,0.33,0.689375,0.9691749773345422,0.3191489361702128,0.8823529411764706,34,497,31.069388603750003
0.16-0.84,0.34,0.671875,0.9702325581395349,0.3181818181818182,0.875,32,525,32.81938860375
0.15-0.85,0.35,0.64875,0.9701348747591522,0.30952380952380953,0.8666666666666667,31,562,35.13188860375
0.14-0.86,0.36,0.64875,0.9701348747591522,0.30952380952380953,0.8666666666666667,31,562,35.13188860375
0.13-0.87,0.37,0.634375,0.9724137931034482,0.3157894736842105,0.8571428571428571,28,585,36.56938860375
0.12-0.88,0.38,0.6175,0.9777327935222672,0.375,0.8571428571428571,22,612,38.256888603750006
0.11-0.89,0.39,0.584375,0.9786096256684492,0.35714285714285715,0.8333333333333334,20,665,41.56938860375
0.10-0.90,0.4,0.57125,0.9803063457330415,0.3333333333333333,0.8,18,686,42.88188860375
0.09-0.91,0.41,0.558125,0.9820828667413214,0.36363636363636365,0.8,16,707,44.19438860375
0.08-0.92,0.42,0.555625,0.984251968503937,0.3333333333333333,0.75,14,711,44.44438860375
0.07-0.93,0.43,0.5375,0.9883720930232558,0.42857142857142855,0.75,10,740,46.25688860375
0.06-0.94,0.44,0.51875,0.9903614457831326,0.45454545454545453,0.7142857142857143,8,770,48.13188860375
0.05-0.95,0.45,0.478125,0.9934640522875817,0.5555555555555556,0.8333333333333334,5,835,52.19438860375
0.04-0.96,0.46,0.433125,0.9942279942279942,0.5714285714285714,0.8,4,907,56.69438860375
0.03-0.97,0.47,0.33125,0.9981132075471698,0.8,1.0,1,1070,66.88188860375
0.02-0.98,0.48,0.32875,1.0,1.0,1.0,0,1074,67.13188860375001
0.01-0.99,0.49,0.146875,1.0,,,0,1365,85.31938860375
