band,half_width,coverage,accuracy_on_auto,precision,recall,mistakes_automated,escalated,cost_per_1k
0.50-0.50,0.0,1.0,0.82375,0.12420382165605096,0.8478260869565217,282,0,0.006437103750000001
0.49-0.51,0.01,0.99625,0.8268506900878294,0.1266233766233766,0.8478260869565217,276,6,0.38143710375000006
0.48-0.52,0.02,0.98375,0.829733163913596,0.13,0.8478260869565217,268,26,1.63143710375
0.47-0.53,0.03,0.974375,0.8306606799230276,0.12542372881355932,0.8604651162790697,264,41,2.56893710375
0.46-0.54,0.04,0.96375,0.8320363164721142,0.12152777777777778,0.8536585365853658,259,58,3.63143710375
0.45-0.55,0.05,0.956875,0.8360548661005879,0.12411347517730496,0.8974358974358975,251,69,4.31893710375
0.44-0.56,0.06,0.949375,0.8400263331138907,0.12727272727272726,0.9210526315789473,243,81,5.06893710375
0.43-0.57,0.07,0.93875,0.844207723035952,0.13157894736842105,0.9210526315789473,234,98,6.131437103750001
0.42-0.58,0.08,0.93125,0.8429530201342282,0.13157894736842105,0.9210526315789473,234,110,6.88143710375
0.41-0.59,0.09,0.920625,0.8472505091649695,0.1328125,0.918918918918919,225,127,7.94393710375
0.40-0.60,0.1,0.910625,0.849691146190803,0.136,0.918918918918919,219,143,8.94393710375
0.39-0.61,0.11,0.899375,0.8540653231410702,0.14107883817427386,0.918918918918919,210,161,10.068937103750002
0.38-0.62,0.12,0.8925,0.8557422969187675,0.13983050847457626,0.9166666666666666,206,172,10.75643710375
0.37-0.63,0.13,0.88125,0.8602836879432624,0.14537444933920704,0.9166666666666666,197,190,11.881437103750002
0.36-0.64,0.14,0.873125,0.8625626342161775,0.14864864864864866,0.9166666666666666,192,203,12.693937103750002
0.35-0.65,0.15,0.860625,0.8671023965141612,0.15492957746478872,0.9166666666666666,183,223,13.943937103750002
0.34-0.66,0.16,0.846875,0.8678966789667897,0.15714285714285714,0.9428571428571428,179,245,15.31893710375
0.33-0.67,0.17,0.84,0.8712797619047619,0.16176470588235295,0.9428571428571428,173,256,16.006437103750002
0.32-0.68,0.18,0.83625,0.875186846038864,0.16666666666666666,0.9428571428571428,167,262,16.381437103750002
0.31-0.69,0.19,0.82625,0.8782148260211801,0.171875,0.9428571428571428,161,278,17.381437103750002
0.30-0.70,0.2,0.816875,0.8806426931905126,0.17204301075268819,0.9411764705882353,156,293,18.318937103750002
0.29-0.71,0.21,0.79875,0.8873239436619719,0.1744186046511628,0.9375,144,322,20.13143710375
0.28-0.72,0.22,0.79125,0.8878357030015798,0.17647058823529413,0.9375,142,334,20.88143710375
0.27-0.73,0.23,0.77875,0.891653290529695,0.18404907975460122,0.9375,135,354,22.13143710375
0.26-0.74,0.24,0.76875,0.8951219512195122,0.1858974358974359,0.9354838709677419,129,370,23.13143710375
0.25-0.75,0.25,0.7575,0.8985148514851485,0.18791946308724833,0.9333333333333333,123,388,24.25643710375
0.24-0.76,0.26,0.74375,0.8983193277310925,0.1793103448275862,0.9285714285714286,121,410,25.63143710375
0.23-0.77,0.27,0.7275,0.897766323024055,0.176056338028169,0.9259259259259259,119,436,27.25643710375
0.22-0.78,0.28,0.719375,0.9000868809730669,0.17518248175182483,0.9230769230769231,115,449,28.068937103750002
0.21-0.79,0.29,0.710625,0.911169744942832,0.1951219512195122,0.9230769230769231,101,463,28.943937103750002
0.20-0.80,0.3,0.69,0.9148550724637681,0.19298245614035087,0.9166666666666666,94,496,31.00643710375
0.19-0.81,0.31,0.674375,0.9156626506024096,0.1981981981981982,0.9166666666666666,91,521,32.56893710375
0.18-0.82,0.32,0.658125,0.9278252611585945,0.22105263157894736,0.9130434782608695,76,547,34.19393710375
0.17-0.83,0.33,0.641875,0.9318403115871471,0.23595505617977527,0.9130434782608695,70,573,35.81893710375
0.16-0.84,0.34,0.631875,0.9376854599406528,0.24691358024691357,0.9090909090909091,63,589,36.81893710375
0.15-0.85,0.35,0.62,0.9405241935483871,0.2597402597402597,0.9090909090909091,59,608,38.006437103749995
0.14-0.86,0.36,0.62,0.9405241935483871,0.2597402597402597,0.9090909090909091,59,608,38.006437103749995
0.13-0.87,0.37,0.60375,0.9420289855072463,0.2602739726027397,0.9047619047619048,56,634,39.63143710375
0.12-0.88,0.38,0.58625,0.9498933901918977,0.2857142857142857,0.9,47,662,41.38143710375
0.11-0.89,0.39,0.568125,0.9493949394939494,0.2542372881355932,0.8823529411764706,46,691,43.19393710375
0.10-0.90,0.4,0.55,0.9579545454545455,0.2857142857142857,0.875,37,720,45.006437103749995
0.09-0.91,0.41,0.53,0.964622641509434,0.3333333333333333,0.875,30,752,47.00643710375
0.08-0.92,0.42,0.5275,0.9680094786729858,0.34210526315789475,0.8666666666666667,27,756,47.25643710375001
0.07-0.93,0.43,0.513125,0.9719853836784409,0.35294117647058826,0.9230769230769231,23,779,48.69393710375
0.06-0.94,0.44,0.491875,0.9834815756035579,0.42857142857142855,0.9,13,813,50.81893710375
0.05-0.95,0.45,0.41875,0.982089552238806,0.3125,0.8333333333333334,12,930,58.131437103749995
0.04-0.96,0.46,0.346875,0.990990990990991,0.5,1.0,5,1045,65.31893710375
0.03-0.97,0.47,0.2225,0.9887640449438202,0.5555555555555556,1.0,4,1244,77.75643710375
0.02-0.98,0.48,0.2175,1.0,1.0,1.0,0,1252,78.25643710375
0.01-0.99,0.49,0.0725,1.0,1.0,1.0,0,1484,92.75643710375
